ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.498,0.16,-0.591,-57.312,-2.075,-11.536,161.499,21.5,-157.006,walking
-0.498,0.289,-0.732,-40.1,-8.423,30.518,160.955,21.489,-157.357,walking
-0.394,0.289,-0.732,-40.1,-8.423,30.518,160.417,21.478,-157.709,walking
-0.394,0.382,-1.088,-25.635,13.123,59.631,159.955,21.165,-158.275,walking
-0.406,0.382,-1.088,-25.635,13.123,59.631,159.5,20.847,-158.84,walking
-0.406,0.27,-1.222,-18.066,35.645,28.564,159.269,20.418,-159.005,walking
-0.309,0.27,-1.222,-18.066,35.645,28.564,159.044,19.995,-159.164,walking
-0.309,0.182,-1.056,-18.921,43.579,-8.057,158.956,19.622,-158.934,walking
-0.247,0.182,-1.056,-18.921,43.579,-8.057,158.873,19.254,-158.703,walking
-0.247,0.221,-0.981,-30.823,52.429,-26.672,158.741,18.864,-158.253,walking
-0.256,0.221,-0.981,-30.823,52.429,-26.672,158.615,18.479,-157.802,walking
-0.256,0.259,-0.976,-33.997,47.18,-34.241,158.467,18.171,-157.297,walking
-0.293,0.259,-0.976,-33.997,47.18,-34.241,158.318,17.858,-156.791,walking
-0.293,0.245,-0.93,-23.743,36.865,-34.912,158.264,17.65,-156.324,walking
-0.317,0.245,-0.93,-23.743,36.865,-34.912,158.209,17.441,-155.852,walking
-0.317,0.192,-0.947,-7.141,25.024,-39.551,158.318,17.358,-155.385,walking
-0.363,0.192,-0.947,-7.141,25.024,-39.551,158.434,17.271,-154.918,walking
-0.363,0.146,-1.021,12.024,19.714,-46.387,158.752,17.265,-154.402,walking
-0.404,0.146,-1.021,12.024,19.714,-46.387,159.071,17.254,-153.891,walking
-0.404,0.078,-0.969,30.579,11.292,-54.016,159.593,17.347,-153.331,walking
-0.405,0.078,-0.969,30.579,11.292,-54.016,160.115,17.435,-152.776,walking
-0.405,0.045,-0.87,43.213,0.732,-60.242,160.774,17.639,-152.188,walking
-0.4,0.045,-0.87,43.213,0.732,-60.242,161.439,17.842,-151.6,walking
-0.4,0.11,-0.808,51.941,-14.893,-61.768,162.18,18.188,-151.046,walking
-0.375,0.11,-0.808,51.941,-14.893,-61.768,162.922,18.534,-150.485,walking
-0.375,0.253,-0.819,55.969,-24.597,-57.739,163.68,18.951,-149.991,walking
-0.379,0.253,-0.819,55.969,-24.597,-57.739,164.438,19.358,-149.485,walking
-0.379,0.441,-0.897,51.025,-24.658,-48.767,165.108,19.737,-149.068,walking
-0.414,0.441,-0.897,51.025,-24.658,-48.767,165.773,20.105,-148.64,walking
-0.414,0.537,-0.796,36.926,-30.64,-39.49,166.245,20.506,-148.321,walking
-0.413,0.537,-0.796,36.926,-30.64,-39.49,166.707,20.907,-147.997,walking
-0.413,0.473,-0.646,17.334,-39.612,-33.142,166.932,21.374,-147.761,walking
-0.439,0.473,-0.646,17.334,-39.612,-33.142,167.151,21.846,-147.519,walking
-0.439,0.362,-0.648,-0.793,-43.518,-21.606,167.141,22.324,-147.409,walking
-0.436,0.362,-0.648,-0.793,-43.518,-21.606,167.124,22.808,-147.294,walking
-0.436,0.313,-0.718,-13.733,-43.03,-0.244,166.893,23.236,-147.409,walking
-0.221,0.313,-0.718,-13.733,-43.03,-0.244,166.657,23.67,-147.524,walking
-0.221,0.248,-0.914,-27.466,-24.414,6.775,166.284,23.895,-147.673,walking
-0.032,0.248,-0.914,-27.466,-24.414,6.775,165.91,24.109,-147.821,walking
-0.032,0.1,-1.408,-19.104,28.381,-12.878,165.773,23.846,-147.623,walking
-0.237,0.1,-1.408,-19.104,28.381,-12.878,165.652,23.571,-147.426,walking
-0.237,-0.082,-1.611,0.732,88.135,-36.255,165.899,22.769,-146.821,walking
-0.58,-0.082,-1.611,0.732,88.135,-36.255,166.152,21.962,-146.223,walking
-0.58,-0.027,-1.151,1.77,85.327,4.395,166.256,21.094,-146.063,walking
-0.587,-0.027,-1.151,1.77,85.327,4.395,166.36,20.237,-145.904,walking
-0.587,0.185,-0.897,20.874,51.208,72.998,166.388,19.561,-146.547,walking
-0.462,0.185,-0.897,20.874,51.208,72.998,166.415,18.896,-147.184,walking
-0.462,0.328,-0.973,41.931,19.409,98.694,166.547,18.49,-148.167,walking
-0.357,0.328,-0.973,41.931,19.409,98.694,166.679,18.089,-149.145,walking
-0.357,0.397,-1.035,33.752,-0.549,81.909,166.767,17.924,-149.996,walking
-0.271,0.397,-1.035,33.752,-0.549,81.909,166.855,17.759,-150.853,walking
-0.271,0.418,-0.909,11.841,-5.31,54.688,166.794,17.699,-151.436,walking
-0.271,0.418,-0.909,11.841,-5.31,54.688,166.734,17.639,-152.023,walking
-0.271,0.375,-0.767,-10.925,-1.648,38.879,166.487,17.578,-152.441,walking
-0.334,0.375,-0.767,-10.925,-1.648,38.879,166.24,17.518,-152.853,walking
-0.334,0.308,-0.719,-28.076,-0.732,31.494,165.844,17.457,-153.188,walking
-0.401,0.308,-0.719,-28.076,-0.732,31.494,165.449,17.402,-153.528,walking
-0.401,0.242,-0.727,-40.344,-7.446,25.818,164.949,17.43,-153.82,walking
-0.428,0.242,-0.727,-40.344,-7.446,25.818,164.443,17.457,-154.116,walking
-0.428,0.208,-0.786,-45.593,-21.79,26.489,163.883,17.617,-154.462,walking
-0.417,0.208,-0.786,-45.593,-21.79,26.489,163.323,17.781,-154.803,walking
-0.417,0.136,-0.849,-38.208,-39.917,25.452,162.823,18.116,-155.198,walking
-0.421,0.136,-0.849,-38.208,-39.917,25.452,162.334,18.446,-155.594,walking
-0.421,0.061,-0.856,-23.804,-52.856,15.442,162.01,18.929,-155.934,walking
-0.353,0.061,-0.856,-23.804,-52.856,15.442,161.686,19.407,-156.281,walking
-0.353,0.055,-0.858,-5.249,-59.387,5.066,161.581,19.979,-156.544,walking
-0.254,0.055,-0.858,-5.249,-59.387,5.066,161.483,20.544,-156.808,walking
-0.254,0.115,-0.875,12.817,-54.626,2.319,161.576,21.066,-157.033,walking
-0.29,0.115,-0.875,12.817,-54.626,2.319,161.669,21.583,-157.253,walking
-0.29,0.201,-0.833,30.212,-44.495,10.193,161.845,22.033,-157.495,walking
-0.393,0.201,-0.833,30.212,-44.495,10.193,162.092,22.418,-157.758,walking
-0.393,0.213,-0.731,42.847,-45.288,19.714,162.378,22.791,-158.071,walking
-0.326,0.213,-0.731,42.847,-45.288,19.714,162.702,23.159,-158.434,walking
-0.326,0.292,-0.727,43.518,-49.438,24.719,163.01,23.538,-158.829,walking
-0.165,0.292,-0.727,43.518,-49.438,24.719,163.295,23.928,-159.252,walking
-0.165,0.432,-0.875,26.611,-26.306,25.024,163.51,24.208,-159.642,walking
-0.166,0.432,-0.875,26.611,-26.306,25.024,163.636,24.368,-159.994,walking
-0.166,0.594,-1.146,4.395,11.292,41.077,163.636,24.318,-160.378,walking
-0.348,0.594,-1.146,4.395,11.292,41.077,163.504,24.06,-160.785,walking
-0.348,0.542,-1.325,-28.931,53.589,35.156,163.24,23.599,-161.093,walking
-0.49,0.542,-1.325,-28.931,53.589,35.156,162.861,22.939,-161.301,walking
-0.49,0.322,-1.205,-67.383,64.209,-5.188,162.372,22.297,-161.274,walking
-0.381,0.322,-1.205,-67.383,64.209,-5.188,161.796,21.671,-161.016,walking
-0.381,0.206,-1.034,-88.379,56.702,-29.48,161.153,21.132,-160.642,walking
-0.323,0.206,-1.034,-88.379,56.702,-29.48,160.455,20.676,-160.153,walking
