ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.293,0.063,-0.995,-10.132,-27.649,-43.762,175.792,-17.15,48.241,running
0.32,0.063,-0.995,-10.132,-27.649,-43.762,175.545,-16.837,48.669,running
0.32,0.007,-0.984,-8.301,-28.809,-44.556,175.314,-16.518,49.098,running
0.347,0.007,-0.984,-8.301,-28.809,-44.556,175.1,-16.188,49.526,running
0.347,0.003,-0.96,-5.188,-25.146,-40.71,174.919,-15.886,49.933,running
0.335,0.003,-0.96,-5.188,-25.146,-40.71,174.76,-15.606,50.323,running
0.335,0.017,-0.957,-2.502,-22.095,-31.799,174.628,-15.348,50.669,running
0.313,0.017,-0.957,-2.502,-22.095,-31.799,174.529,-15.112,50.971,running
0.313,0.031,-0.955,1.404,-21.301,-25.696,174.463,-14.886,51.235,running
0.316,0.031,-0.955,1.404,-21.301,-25.696,174.424,-14.667,51.471,running
0.316,0.029,-0.943,4.517,-18.86,-23.254,174.408,-14.458,51.696,running
0.325,0.029,-0.943,4.517,-18.86,-23.254,174.408,-14.271,51.91,running
0.325,0.032,-0.913,6.714,-14.709,-19.47,174.43,-14.106,52.108,running
0.309,0.032,-0.913,6.714,-14.709,-19.47,174.468,-13.964,52.284,running
0.309,0.048,-0.886,4.883,-11.108,-13.306,174.501,-13.843,52.432,running
0.292,0.048,-0.886,4.883,-11.108,-13.306,174.534,-13.749,52.553,running
0.292,0.063,-0.885,-0.305,-9.338,-7.385,174.545,-13.667,52.641,running
0.299,0.063,-0.885,-0.305,-9.338,-7.385,174.54,-13.596,52.701,running
0.299,0.082,-0.9,-7.019,-6.836,-1.282,174.512,-13.535,52.734,running
0.322,0.082,-0.9,-7.019,-6.836,-1.282,174.452,-13.497,52.734,running
0.322,0.079,-0.929,-11.108,-2.625,3.845,174.375,-13.48,52.712,running
0.36,0.079,-0.929,-11.108,-2.625,3.845,174.287,-13.486,52.663,running
0.36,0.013,-0.923,-11.292,6.226,9.399,174.199,-13.541,52.592,running
0.333,0.013,-0.923,-11.292,6.226,9.399,174.122,-13.645,52.498,running
0.333,-0.039,-0.911,-6.592,13.672,17.822,174.078,-13.788,52.361,running
0.289,-0.039,-0.911,-6.592,13.672,17.822,174.073,-13.975,52.191,running
0.289,-0.015,-0.908,-6.104,13.855,24.902,174.078,-14.167,51.976,running
0.264,-0.015,-0.908,-6.104,13.855,24.902,174.1,-14.359,51.735,running
0.264,0.021,-0.916,-5.676,12.207,30.151,174.133,-14.54,51.46,running
0.264,0.021,-0.916,-5.676,12.207,30.151,174.177,-14.716,51.152,running
0.257,0.021,-0.916,-5.676,12.207,30.151,174.221,-14.892,50.85,running
0.257,0.082,-0.947,-8.789,8.118,32.776,174.243,-15.024,50.515,running
0.268,0.082,-0.947,-8.789,8.118,32.776,174.26,-15.15,50.18,running
0.268,0.097,-0.968,-12.634,7.751,32.532,174.243,-15.276,49.845,running
0.293,0.097,-0.968,-12.634,7.751,32.532,174.221,-15.397,49.51,running
0.293,0.091,-0.972,-15.442,5.981,32.532,174.166,-15.502,49.175,running
0.312,0.091,-0.972,-15.442,5.981,32.532,174.117,-15.601,48.84,running
0.312,0.096,-0.985,-18.494,5.676,32.349,174.034,-15.699,48.505,running
0.311,0.096,-0.985,-18.494,5.676,32.349,173.952,-15.798,48.17,running
0.311,0.086,-0.988,-18.677,7.874,32.654,173.87,-15.919,47.834,running
0.314,0.086,-0.988,-18.677,7.874,32.654,173.787,-16.046,47.499,running
0.314,0.08,-0.999,-16.663,8.972,33.447,173.727,-16.177,47.159,running
0.326,0.08,-0.999,-16.663,8.972,33.447,173.666,-16.309,46.813,running
0.326,0.053,-1.024,-12.878,11.719,34.363,173.65,-16.469,46.467,running
0.311,0.053,-1.024,-12.878,11.719,34.363,173.633,-16.628,46.115,running
0.311,0.02,-1.007,-7.935,11.536,32.776,173.661,-16.782,45.78,running
0.3,0.02,-1.007,-7.935,11.536,32.776,173.694,-16.935,45.445,running
0.3,0.028,-0.979,-4.395,7.935,30.334,173.76,-17.051,45.132,running
0.314,0.028,-0.979,-4.395,7.935,30.334,173.826,-17.161,44.819,running
0.314,0.067,-0.991,-1.16,5.188,31.006,173.925,-17.249,44.495,running
0.333,0.067,-0.991,-1.16,5.188,31.006,174.023,-17.331,44.171,running
0.333,0.098,-1.011,0.854,4.456,32.898,174.15,-17.408,43.83,running
0.341,0.098,-1.011,0.854,4.456,32.898,174.271,-17.485,43.484,running
0.341,0.087,-1.037,3.296,4.639,32.837,174.413,-17.567,43.138,running
0.326,0.087,-1.037,3.296,4.639,32.837,174.562,-17.644,42.792,running
0.326,0.043,-0.985,3.357,3.113,31.921,174.705,-17.704,42.457,running
0.321,0.043,-0.985,3.357,3.113,31.921,174.847,-17.765,42.116,running
0.321,0.074,-0.971,-3.052,-6.714,31.128,174.924,-17.726,41.781,running
0.321,0.074,-0.971,-3.052,-6.714,31.128,175.007,-17.688,41.44,running
0.321,0.146,-1.04,-11.108,-16.968,27.222,174.99,-17.54,41.133,running
0.269,0.146,-1.04,-11.108,-16.968,27.222,174.974,-17.397,40.831,running
0.269,0.209,-1.077,-16.724,-26.855,15.747,174.864,-17.144,40.633,running
0.209,0.209,-1.077,-16.724,-26.855,15.747,174.749,-16.891,40.435,running
0.209,0.26,-1.096,-20.142,-39.734,0.793,174.551,-16.496,40.386,running
