ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.068,0.187,-0.991,1.831,0.061,-0.671,168.843,-3.972,13.145,lying
0.069,0.187,-0.991,1.831,0.061,-0.671,168.86,-3.966,13.156,lying
0.069,0.189,-0.991,1.465,0.061,-0.305,168.876,-3.966,13.162,lying
0.068,0.189,-0.991,1.465,0.061,-0.305,168.893,-3.966,13.162,lying
0.068,0.188,-0.99,0.854,-0.122,-0.122,168.904,-3.966,13.162,lying
0.069,0.188,-0.99,0.854,-0.122,-0.122,168.915,-3.961,13.167,lying
0.069,0.184,-0.989,0.671,-0.305,-0.061,168.926,-3.961,13.167,lying
0.068,0.184,-0.989,0.671,-0.305,-0.061,168.931,-3.955,13.167,lying
0.068,0.183,-0.989,0.732,-0.366,0.061,168.942,-3.95,13.162,lying
0.067,0.183,-0.989,0.732,-0.366,0.061,168.948,-3.95,13.162,lying
0.067,0.183,-0.986,0.793,-0.183,0.122,168.959,-3.944,13.162,lying
0.066,0.183,-0.986,0.793,-0.183,0.122,168.97,-3.944,13.156,lying
0.066,0.184,-0.987,0.671,-0.061,0.183,168.981,-3.939,13.156,lying
0.065,0.184,-0.987,0.671,-0.061,0.183,168.986,-3.939,13.156,lying
0.065,0.185,-0.985,0.61,-0.183,0.183,168.997,-3.939,13.151,lying
0.066,0.185,-0.985,0.61,-0.183,0.183,169.003,-3.939,13.151,lying
0.066,0.186,-0.988,0.305,-0.244,0.427,169.008,-3.933,13.145,lying
0.066,0.186,-0.988,0.305,-0.244,0.427,169.014,-3.933,13.14,lying
0.066,0.186,-0.989,-0.122,-0.244,0.549,169.019,-3.933,13.134,lying
0.062,0.186,-0.989,-0.122,-0.244,0.549,169.019,-3.928,13.129,lying
0.062,0.181,-0.994,0,-0.122,0.427,169.019,-3.928,13.123,lying
0.063,0.181,-0.994,0,-0.122,0.427,169.025,-3.928,13.118,lying
0.063,0.179,-0.991,0.549,-0.183,0,169.03,-3.922,13.118,lying
0.063,0.179,-0.991,0.549,-0.183,0,169.036,-3.922,13.118,lying
0.063,0.188,-0.983,0.305,0,0.183,169.041,-3.917,13.118,lying
0.066,0.188,-0.983,0.305,0,0.183,169.047,-3.917,13.112,lying
0.066,0.189,-0.982,0.061,0.427,0.244,169.052,-3.917,13.112,lying
0.069,0.189,-0.982,0.061,0.427,0.244,169.058,-3.922,13.112,lying
0.069,0.184,-0.982,0.244,0.793,0.305,169.058,-3.928,13.107,lying
0.069,0.184,-0.982,0.244,0.793,0.305,169.063,-3.933,13.107,lying
0.069,0.183,-0.986,-0.183,0.61,0.366,169.063,-3.944,13.107,lying
0.067,0.183,-0.986,-0.183,0.61,0.366,169.069,-3.95,13.101,lying
0.067,0.185,-0.986,-0.61,0.305,0.366,169.063,-3.95,13.101,lying
0.066,0.185,-0.986,-0.61,0.305,0.366,169.058,-3.955,13.096,lying
0.066,0.189,-0.987,-0.854,0.122,0.427,169.058,-3.955,13.09,lying
0.068,0.189,-0.987,-0.854,0.122,0.427,169.047,-3.955,13.09,lying
0.068,0.187,-0.989,-1.221,-0.061,0.61,169.041,-3.961,13.085,lying
0.066,0.187,-0.989,-1.221,-0.061,0.61,169.03,-3.955,13.079,lying
0.066,0.184,-0.992,-1.16,-0.061,0.854,169.019,-3.955,13.068,lying
0.064,0.184,-0.992,-1.16,-0.061,0.854,169.014,-3.955,13.063,lying
0.064,0.18,-0.993,-0.366,-0.061,0.916,169.008,-3.955,13.052,lying
0.062,0.18,-0.993,-0.366,-0.061,0.916,169.008,-3.961,13.041,lying
0.062,0.182,-0.99,0.366,-0.061,0.671,169.008,-3.955,13.035,lying
0.063,0.182,-0.99,0.366,-0.061,0.671,169.014,-3.955,13.03,lying
0.063,0.185,-0.989,0.549,-0.244,0.366,169.025,-3.955,13.024,lying
0.065,0.185,-0.989,0.549,-0.244,0.366,169.03,-3.95,13.019,lying
0.065,0.186,-0.986,0.427,0.183,0.122,169.041,-3.95,13.013,lying
0.065,0.186,-0.986,0.427,0.183,0.122,169.047,-3.95,13.013,lying
0.065,0.184,-0.986,0.122,0.305,0,169.052,-3.955,13.013,lying
0.064,0.184,-0.986,0.122,0.305,0,169.052,-3.955,13.013,lying
0.064,0.181,-0.988,0,0.183,-0.183,169.058,-3.955,13.013,lying
0.067,0.181,-0.988,0,0.183,-0.183,169.058,-3.955,13.019,lying
0.067,0.181,-0.987,0.122,0.305,-0.488,169.063,-3.955,13.019,lying
0.067,0.181,-0.987,0.122,0.305,-0.488,169.063,-3.955,13.024,lying
0.067,0.182,-0.986,0.122,0.122,-0.305,169.069,-3.955,13.03,lying
0.067,0.182,-0.986,0.122,0.122,-0.305,169.074,-3.955,13.035,lying
0.067,0.184,-0.986,-0.183,0.061,0.122,169.074,-3.955,13.035,lying
0.067,0.184,-0.986,-0.183,0.061,0.122,169.074,-3.955,13.035,lying
0.067,0.187,-0.988,-0.488,0,0.366,169.074,-3.955,13.03,lying
0.068,0.187,-0.988,-0.488,0,0.366,169.074,-3.955,13.024,lying
0.068,0.186,-0.988,-0.732,0.122,0.671,169.069,-3.955,13.024,lying
