ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.798,0.087,-0.546,1.953,-0.244,1.587,169.503,53.822,66.896,sitting
-0.819,0.087,-0.546,1.953,-0.244,1.587,169.508,53.828,66.868,sitting
-0.819,0.093,-0.548,2.808,2.258,1.282,169.53,53.806,66.857,sitting
-0.811,0.093,-0.548,2.808,2.258,1.282,169.552,53.789,66.841,sitting
-0.811,0.095,-0.565,2.686,3.113,1.648,169.574,53.762,66.824,sitting
-0.816,0.095,-0.565,2.686,3.113,1.648,169.596,53.729,66.808,sitting
-0.816,0.104,-0.572,1.404,4.089,1.038,169.607,53.696,66.802,sitting
-0.84,0.104,-0.572,1.404,4.089,1.038,169.623,53.657,66.802,sitting
-0.84,0.115,-0.585,-1.16,2.38,-0.244,169.629,53.641,66.813,sitting
-0.836,0.115,-0.585,-1.16,2.38,-0.244,169.629,53.624,66.824,sitting
-0.836,0.122,-0.588,-2.808,-1.709,-0.854,169.612,53.652,66.835,sitting
-0.817,0.122,-0.588,-2.808,-1.709,-0.854,169.59,53.674,66.841,sitting
-0.817,0.13,-0.581,-3.662,-3.235,-0.549,169.552,53.712,66.841,sitting
-0.811,0.13,-0.581,-3.662,-3.235,-0.549,169.519,53.751,66.841,sitting
-0.811,0.121,-0.574,-5.737,-2.625,-0.854,169.464,53.778,66.852,sitting
-0.789,0.121,-0.574,-5.737,-2.625,-0.854,169.409,53.811,66.857,sitting
-0.789,0.093,-0.548,-6.531,-0.916,0.122,169.338,53.822,66.852,sitting
-0.799,0.093,-0.548,-6.531,-0.916,0.122,169.272,53.833,66.846,sitting
-0.799,0.083,-0.566,-7.324,2.502,2.075,169.178,53.811,66.824,sitting
-0.801,0.083,-0.566,-7.324,2.502,2.075,169.085,53.789,66.797,sitting
-0.801,0.096,-0.591,-7.751,2.502,2.686,168.986,53.762,66.758,sitting
-0.784,0.096,-0.591,-7.751,2.502,2.686,168.882,53.734,66.725,sitting
-0.784,0.099,-0.583,-6.226,2.93,3.357,168.788,53.701,66.682,sitting
-0.791,0.099,-0.583,-6.226,2.93,3.357,168.701,53.668,66.632,sitting
